,C6,C5,C4,C3,C2,C1,B6,B5,B4,B3,B2,B1,A2,A1,Out2,Out1,Out3,Out4
gene1.phy,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene2.phy,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene3.phy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene4.phy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5.phy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene6.phy,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
gene7.phy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene8.phy,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
gene9.phy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene10.phy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene11.phy,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
gene12.phy,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene13.phy,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene14.phy,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
gene15.phy,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
gene16.phy,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
gene17.phy,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
gene18.phy,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
gene19.phy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene20.phy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
